service,action,AWS Service,Description,Resource type (console),resources.type,eventType,eventCategory,eventName,ACSC Recommended,ACSC Logging Condition
a2c,GetContainerizationJobDetails,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a2c,GetDeploymentJobDetails,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a2c,StartContainerizationJob,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a2c,StartDeploymentJob,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,ApproveSkill,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,AssociateContactWithAddressBook,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,AssociateDeviceWithNetworkProfile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,AssociateDeviceWithRoom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,AssociateSkillGroupWithRoom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,AssociateSkillWithSkillGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,AssociateSkillWithUsers,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CompleteRegistration,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateAddressBook,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateBusinessReportSchedule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateConferenceProvider,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateContact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateGatewayGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateNetworkProfile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateProfile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateRoom,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateSkillGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,CreateUser,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,DeleteAddressBook,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,DeleteBusinessReportSchedule,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,DeleteConferenceProvider,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,DeleteContact,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,DeleteDevice,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,DeleteDeviceUsageData,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,DeleteGatewayGroup,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
a4b,DeleteNetworkProfile,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
