resourceType,resourceProvider,providerDisplayName,typeOnly,displayName,apiVersions,defaultApiVersion,locationsCount,locations,servicePrincipals,supportsPrivateEndpoint,supportsManagedIdentity,supportsTags,supportsLock
microsoft.aad/domainservices,Microsoft.AAD,Domain Services Resource Provider,DomainServices,Domain Service Type,"2025-10-01,2025-06-01,2022-12-01,2022-09-01,2021-05-01,2021-03-01,2020-01-01,2017-06-01,2017-01-01",2021-05-01,51,australiaeast; australiasoutheast; austriaeast; belgiumcentral; brazilsouth; canadacentral; canadaeast; centralindia; centralus; chilecentral; denmarkeast; eastasia; eastus; eastus2; francecentral; germanynorth; germanywestcentral; indiasouthcentral; indonesiacentral; israelcentral; italynorth; japaneast; japanwest; koreacentral; koreasouth; malaysiawest; mexicocentral; newzealandnorth; northcentralus; northeurope; norwayeast; polandcentral; qatarcentral; southafricanorth; southcentralus; southeastasia; southindia; spaincentral; swedencentral; switzerlandnorth; switzerlandwest; uaecentral; uaenorth; uksouth; ukwest; westcentralus; westeurope; westindia; westus; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,True,True
microsoft.aad/domainservices/oucontainer,Microsoft.AAD,Domain Services Resource Provider,DomainServices/oucontainer,Ou Container Type,"2025-10-01,2025-06-01,2022-12-01,2022-09-01,2021-05-01,2021-03-01,2020-01-01,2017-06-01",2021-05-01,51,australiaeast; australiasoutheast; austriaeast; belgiumcentral; brazilsouth; canadacentral; canadaeast; centralindia; centralus; chilecentral; denmarkeast; eastasia; eastus; eastus2; francecentral; germanynorth; germanywestcentral; indiasouthcentral; indonesiacentral; israelcentral; italynorth; japaneast; japanwest; koreacentral; koreasouth; malaysiawest; mexicocentral; newzealandnorth; northcentralus; northeurope; norwayeast; polandcentral; qatarcentral; southafricanorth; southcentralus; southeastasia; southindia; spaincentral; swedencentral; switzerlandnorth; switzerlandwest; uaecentral; uaenorth; uksouth; ukwest; westcentralus; westeurope; westindia; westus; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,False,False
microsoft.aad/domainservices/outboundnetworkdependenciesendpoints,Microsoft.AAD,Domain Services Resource Provider,domainServices/OutboundNetworkDependenciesEndpoints,Domain Service Type,,,0,,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,undetermined,undetermined,undetermined
microsoft.aad/domainservices/providers/microsoft.insights/diagnosticsettings,Microsoft.AAD,Domain Services Resource Provider,domainServices/providers/Microsoft.Insights/diagnosticSettings,Domain Service Type,,,0,,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,undetermined,undetermined,undetermined
microsoft.aad/domainservices/providers/microsoft.insights/logdefinitions,Microsoft.AAD,Domain Services Resource Provider,domainServices/providers/Microsoft.Insights/logDefinitions,Domain Service Type,,,0,,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,undetermined,undetermined,undetermined
microsoft.aad/domainservices/providers/microsoft.insights/metricdefinitions,Microsoft.AAD,Domain Services Resource Provider,domainServices/providers/Microsoft.Insights/metricDefinitions,Domain Service Type,,,0,,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,undetermined,undetermined,undetermined
microsoft.aad/domainservices/unsuspend,Microsoft.AAD,Domain Services Resource Provider,domainServices/unsuspend,n/a,"2025-10-01,2025-06-01,2025-05-01",2025-05-01,51,australiaeast; australiasoutheast; austriaeast; belgiumcentral; brazilsouth; canadacentral; canadaeast; centralindia; centralus; chilecentral; denmarkeast; eastasia; eastus; eastus2; francecentral; germanynorth; germanywestcentral; indiasouthcentral; indonesiacentral; israelcentral; italynorth; japaneast; japanwest; koreacentral; koreasouth; malaysiawest; mexicocentral; newzealandnorth; northcentralus; northeurope; norwayeast; polandcentral; qatarcentral; southafricanorth; southcentralus; southeastasia; southindia; spaincentral; swedencentral; switzerlandnorth; switzerlandwest; uaecentral; uaenorth; uksouth; ukwest; westcentralus; westeurope; westindia; westus; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,False,False
microsoft.aad/locations,Microsoft.AAD,Domain Services Resource Provider,locations,n/a,"2025-10-01,2025-06-01,2022-12-01,2022-09-01,2021-05-01,2021-03-01,2020-01-01,2017-06-01,2017-01-01",2021-05-01,51,australiaeast; australiasoutheast; austriaeast; belgiumcentral; brazilsouth; canadacentral; canadaeast; centralindia; centralus; chilecentral; denmarkeast; eastasia; eastus; eastus2; francecentral; germanynorth; germanywestcentral; indiasouthcentral; indonesiacentral; israelcentral; italynorth; japaneast; japanwest; koreacentral; koreasouth; malaysiawest; mexicocentral; newzealandnorth; northcentralus; northeurope; norwayeast; polandcentral; qatarcentral; southafricanorth; southcentralus; southeastasia; southindia; spaincentral; swedencentral; switzerlandnorth; switzerlandwest; uaecentral; uaenorth; uksouth; ukwest; westcentralus; westeurope; westindia; westus; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,False,False
microsoft.aad/locations/operationresults,Microsoft.AAD,Domain Services Resource Provider,locations/operationresults,n/a,"2025-10-01,2025-06-01,2022-12-01,2022-09-01,2021-05-01,2021-03-01,2020-01-01,2017-06-01,2017-01-01",2021-05-01,51,australiaeast; australiasoutheast; austriaeast; belgiumcentral; brazilsouth; canadacentral; canadaeast; centralindia; centralus; chilecentral; denmarkeast; eastasia; eastus; eastus2; francecentral; germanynorth; germanywestcentral; indiasouthcentral; indonesiacentral; israelcentral; italynorth; japaneast; japanwest; koreacentral; koreasouth; malaysiawest; mexicocentral; newzealandnorth; northcentralus; northeurope; norwayeast; polandcentral; qatarcentral; southafricanorth; southcentralus; southeastasia; southindia; spaincentral; swedencentral; switzerlandnorth; switzerlandwest; uaecentral; uaenorth; uksouth; ukwest; westcentralus; westeurope; westindia; westus; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,False,False
microsoft.aad/locations/resiliencehostsoperationstatuses,Microsoft.AAD,Domain Services Resource Provider,locations/ResilienceHostsOperationStatuses,n/a,2026-01-01-preview,2026-01-01-preview,10,australiaeast; centraluseuap; eastus2; eastus2euap; japaneast; northeurope; swedencentral; uksouth; westus2; westus3,"Domain Controller Services,443155a6-77f3-45e3-882b-22b3a8d431fb;Domain Controller Services,abba844e-bc0e-44b0-947a-dc74e5d09022;Domain Controller Services,d87dcbc6-a371-462e-88e3-28ad15ec4e64;Entra Resilience,7161b011-0034-436d-ad17-c0c07235e52b",False,False,False,False
