number,keyword,description
0,hopopt,IPv6 Hop-by-Hop Option
1,icmp,Internet Control Message
2,igmp,Internet Group Management
3,ggp,Gateway-to-Gateway
4,ipv4,IP in IP (encapsulation)
5,st,Stream
6,tcp,Transmission Control
7,cbt,CBT
8,egp,Exterior Gateway Protocol
9,igp,any private interior gateway
10,bbn-rcc-mon,BBN RCC Monitoring
11,nvp-ii,Network Voice Protocol
12,pup,PARC universal packet protocol
13,argus,ARGUS
14,emcon,EMCON
15,xnet,Cross Net Debugger
16,chaos,Chaos
17,udp,User Datagram
18,mux,Multiplexing
19,dcn-meas,DCN Measurement Subsystems
20,hmp,Host Monitoring
21,prm,Packet Radio Measurement
22,xns-idp,XEROX NS IDP
23,trunk-1,Trunk-1
24,trunk-2,Trunk-2
25,leaf-1,Leaf-1
26,leaf-2,Leaf-2
27,rdp,Reliable Data Protocol
28,irtp,Internet Reliable Transaction
29,iso-tp4,ISO Transport Protocol Class 4
30,netblt,Bulk Data Transfer Protocol
31,mfe-nsp,MFE Network Services Protocol
32,merit-inp,MERIT Internodal Protocol
33,dccp,Datagram Congestion Control Protocol
34,3pc,Third Party Connect Protocol
35,idpr,Inter-Domain Policy Routing Protocol
36,xtp,XTP
37,ddp,Datagram Delivery Protocol
38,idpr-cmtp,IDPR Control Message Transport Proto
39,tp++,TP+
40,il,IL Transport Protocol
41,ipv6,Ipv6
42,sdrp,Source Demand Routing Protocol
43,ipv6-route,Routing Header for IPv6
44,ipv6-frag,Fragment Header for IPv6
45,idrp,Inter-Domain Routing Protocol
46,rsvp,Reservation Protocol
47,gre,General Routing Encapsulation
48,dsp,Dynamic Source Routing Protocol. Historically MHRP
49,bna,BNA
50,esp,Encap Security Payload
51,ah,Authentication Header
52,i-nlsp,Integrated Net Layer Security  TUBA
53,swipe,IP with Encryption
54,narp,NBMA Address Resolution Protocol
55,mobile,IP Mobility
56,tlsp,Transport Layer Security Protocol using Kryptonet key management
57,skip,SKIP
58,ipv6-icmp,ICMP for IPv6
59,ipv6-nonxt,No Next Header for IPv6
60,ipv6-opts,Destination Options for IPv6
61,anyhost,any host internal protocol
62,cftp,CFTP
63,anylocalnet,any local network
64,sat-expak,SATNET and Backroom EXPAK
65,kryptolan,Kryptolan
66,rvd,MIT Remote Virtual Disk Protocol
67,ippc,Internet Pluribus Packet Core
68,anydistribfs,any distributed file system
69,sat-mon,SATNET Monitoring
70,visa,VISA Protocol
71,ipcv,Internet Packet Core Utility
72,cpnx,Computer Protocol Network Executive
73,cphb,Computer Protocol Heart Beat
74,wsn,Wang Span Network
75,pvp,Packet Video Protocol
76,br-sat-mon,Backroom SATNET Monitoring
77,sun-nd,SUN ND PROTOCOL-Temporary
78,wb-mon,WIDEBAND Monitoring
79,wb-expak,WIDEBAND EXPAK
80,iso-ip,ISO Internet Protocol
81,vmtp,VMTP
82,secure-vmtp,SECURE-VMTP
83,vines,VINES
84,iptm,Internet Protocol Traffic Manager. Historically TTP
85,nsfnet-igp,NSFNET-IGP
86,dgp,Dissimilar Gateway Protocol
87,tcf,TCF
88,eigrp,EIGRP
89,ospfigp,OSPFIGP
90,sprite-rpc,Sprite RPC Protocol
91,larp,Locus Address Resolution Protocol
92,mtp,Multicast Transport Protocol
93,ax.25,AX.
94,ipip,IP-within-IP Encapsulation Protocol
95,micp,Mobile Internetworking Control Pro.
96,scc-sp,Semaphore Communications Sec.
97,etherip,Ethernet-within-IP Encapsulation
98,encap,Encapsulation Header
99,anyencrypt,any private encryption scheme
100,gmtp,GMTP
101,ifmp,Ipsilon Flow Management Protocol
102,pnni,PNNI over IP
103,pim,Protocol Independent Multicast
104,aris,ARIS
105,scps,SCPS
106,qnx,QNX
107,a/n,Active Networks
108,ipcomp,IP Payload Compression Protocol
109,snp,Sitara Networks Protocol
110,compaq-peer,Compaq Peer Protocol
111,ipx-in-ip,IPX in IP
112,vrrp,Virtual Router Redundancy Protocol
113,pgm,PGM Reliable Transport Protocol
114,any0hop,any 0-hop protocol
115,l2tp,Layer Two Tunneling Protocol
116,ddx,D-II Data Exchange
117,iatp,Interactive Agent Transfer Protocol
118,stp,Schedule Transfer Protocol
119,srp,SpectraLink Radio Protocol
120,uti,UTI
121,smp,Simple Message Protocol
122,sm,Simple Multicast Protocol
123,ptp,Performance Transparency Protocol
124,isis-ipv4,ISIS over IPv4
125,fire,
126,crtp,Combat Radio Transport Protocol
127,crudp,Combat Radio User Datagram
128,sscopmce,
129,iplt,
130,sps,Secure Packet Shield
131,pipe,Private IP Encapsulation within IP
132,sctp,Stream Control Transmission Protocol
133,fc,Fibre Channel
134,rsvp-e2e-ignore,
135,mobility-hdr,Mobility Header
136,udplite,UDP-Lite [RFC3828]
137,mpls-in-ip,MPLS-in-IP [RFC4023]
138,manet,MANET Protocols [RFC5498]
139,hip,Host Identity Protocol
140,shim6,Shim6 Protocol [RFC5533]
141,wesp,Wrapped Encapsulating Security Payload
142,rohc,Robust Header Compression
143,ethernet,RFC 8986 Ethernet next-header
144,aggfrag,AGGFRAG encapsulation payload for ESP [draft-ietf-ipsecme-iptfs-18]
145,nsh,Network Service Header
146,homa,Homa
147,bit-emu,Bit-stream Emulation
253,experimental1,Use for experimentation and testing
254,experimental2,Use for experimentation and testing
