code,name,note
0,NONE,
1,AP-REQ,
2,ENC-TIMESTAMP,RFC 4120
3,PW-SALT,RFC 4120
4,ENC-ENCKEY,
5,ENC-UNIX-TIME,timestamp encrypted in key. RFC 4120
6,ENC-SANDIA-SECURID,SecurId passcode. RFC 4120
7,SESAME,Sesame project. RFC 4120
8,OSF-DCE,OSF DCE. RFC 4120
10,AFS3-SALT,"Cygnus. RFC 4120, 3961"
11,ETYPE-INFO,Etype info for preauth. RFC 4120
12,SAM-CHALLENGE,SAM/OTP
13,SAM-RESPONSE,SAM/OTP
14,PK-AS-REQ-OLD,PKINIT
15,PK-AS-REP-OLD,PKINIT
16,PK-AS-REQ,PKINIT. RFC 4556
17,PK-AS-REP,PKINIT. RFC 4556
19,ETYPE-INFO2,RFC 4120
20,USE-SPECIFIED-KVNO,RFC 4120
20,SVR-REFERRAL-INFO,Windows 2000 referrals. RFC 6820
21,SAM-REDIRECT,SAM/OTP. RFC 4120
22,GET-FROM-TYPED-DATA,Embedded in typed data. RFC 4120
25,REFERRAL,draft referral system
30,SAM-CHALLENGE-2,"draft challenge system, updated"
31,SAM-RESPONSE-2,"draft challenge system, updated"
128,PAC-REQUEST,include Windows PAC
129,FOR-USER,username protocol transition request
130,S4U-X509-USER,certificate protocol transition request
132,AS-CHECKSUM,AS checksum
133,FX-COOKIE,RFC 6113
136,FX-FAST,RFC 6113
137,FX-ERROR,RFC 6113
138,ENCRYPTED-CHALLENGE,RFC 6113
141,OTP-CHALLENGE,RFC 6560 section 4.1
142,OTP-REQUEST,RFC 6560 section 4.2
144,OTP-PIN-CHANGE,RFC 6560 section 4.3
147,PKINIT-KX,RFC 6112
150,AS-FRESHNESS,RFC 8070
151,SPAKE,
152,REDHAT-IDP-OAUTH2,Red Hat IdP mechanism
153,REDHAT-PASSKEY,Red Hat Passkey mechanism
167,PAC-OPTIONS,MS-KILE and MS-SFU
