technique_id,technique,tactics,audit_category,audit_sub_category,event_id
T1021,Remote Services,lateral-movement,Logon/Logoff,Logon,4624
T1021.001,Remote Desktop Protocol,lateral-movement,Logon/Logoff,Logon,4624
T1021.002,SMB/Windows Admin Shares,lateral-movement,Logon/Logoff,Logon,4624
T1021.004,SSH,lateral-movement,Logon/Logoff,Logon,4624
T1021.005,VNC,lateral-movement,Logon/Logoff,Logon,4624
T1021.006,Windows Remote Management,lateral-movement,Logon/Logoff,Logon,4624
T1070,Indicator Removal on Host,defense-evasion,Logon/Logoff,Logon,4624
T1070.005,Network Share Connection Removal,defense-evasion,Logon/Logoff,Logon,4624
T1078,Valid Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4624
T1078.001,Default Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4624
T1078.002,Domain Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4624
T1078.003,Local Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4624
T1078.004,Cloud Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4624
T1110,Brute Force,credential-access,Logon/Logoff,Logon,4624
T1110.001,Password Guessing,credential-access,Logon/Logoff,Logon,4624
T1110.002,Password Cracking,credential-access,Logon/Logoff,Logon,4624
T1110.003,Password Spraying,credential-access,Logon/Logoff,Logon,4624
T1110.004,Credential Stuffing,credential-access,Logon/Logoff,Logon,4624
T1114,Email Collection,collection,Logon/Logoff,Logon,4624
T1114.002,Remote Email Collection,collection,Logon/Logoff,Logon,4624
T1185,Browser Session Hijacking,collection,Logon/Logoff,Logon,4624
T1199,Trusted Relationship,initial-access,Logon/Logoff,Logon,4624
T1207,Rogue Domain Controller,defense-evasion,Logon/Logoff,Logon,4624
T1213,Data from Information Repositories,collection,Logon/Logoff,Logon,4624
T1213.001,Confluence,collection,Logon/Logoff,Logon,4624
T1213.002,Sharepoint,collection,Logon/Logoff,Logon,4624
T1213.003,Code Repositories,collection,Logon/Logoff,Logon,4624
T1538,Cloud Service Dashboard,discovery,Logon/Logoff,Logon,4624
T1550,Use Alternate Authentication Material,defense-evasion; lateral-movement,Logon/Logoff,Logon,4624
T1550.002,Pass the Hash,defense-evasion; lateral-movement,Logon/Logoff,Logon,4624
T1550.003,Pass the Ticket,defense-evasion; lateral-movement,Logon/Logoff,Logon,4624
T1552,Unsecured Credentials,credential-access,Logon/Logoff,Logon,4624
T1552.005,Cloud Instance Metadata API,credential-access,Logon/Logoff,Logon,4624
T1552.007,Container API,credential-access,Logon/Logoff,Logon,4624
T1556,Modify Authentication Process,persistence; defense-evasion; credential-access,Logon/Logoff,Logon,4624
T1556.001,Domain Controller Authentication,persistence; defense-evasion; credential-access,Logon/Logoff,Logon,4624
T1556.003,Pluggable Authentication Modules,persistence; defense-evasion; credential-access,Logon/Logoff,Logon,4624
T1563,Remote Service Session Hijacking,lateral-movement,Logon/Logoff,Logon,4624
T1563.001,SSH Hijacking,lateral-movement,Logon/Logoff,Logon,4624
T1563.002,RDP Hijacking,lateral-movement,Logon/Logoff,Logon,4624
T1606,Forge Web Credentials,credential-access,Logon/Logoff,Logon,4624
T1606.001,Web Cookies,credential-access,Logon/Logoff,Logon,4624
T1606.002,SAML Tokens,credential-access,Logon/Logoff,Logon,4624
T1070,Indicator Removal on Host,defense-evasion,Logon/Logoff,Account Lockout,4625
T1070.005,Network Share Connection Removal,defense-evasion,Logon/Logoff,Account Lockout,4625
T1078,Valid Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Account Lockout,4625
T1078.001,Default Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Account Lockout,4625
T1078.002,Domain Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Account Lockout,4625
T1078.003,Local Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Account Lockout,4625
T1078.004,Cloud Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Account Lockout,4625
T1110,Brute Force,credential-access,Logon/Logoff,Account Lockout,4625
T1110.001,Password Guessing,credential-access,Logon/Logoff,Account Lockout,4625
T1110.002,Password Cracking,credential-access,Logon/Logoff,Account Lockout,4625
T1110.003,Password Spraying,credential-access,Logon/Logoff,Account Lockout,4625
T1110.004,Credential Stuffing,credential-access,Logon/Logoff,Account Lockout,4625
T1207,Rogue Domain Controller,defense-evasion,Logon/Logoff,Account Lockout,4625
T1538,Cloud Service Dashboard,discovery,Logon/Logoff,Account Lockout,4625
T1550,Use Alternate Authentication Material,defense-evasion; lateral-movement,Logon/Logoff,Account Lockout,4625
T1550.002,Pass the Hash,defense-evasion; lateral-movement,Logon/Logoff,Account Lockout,4625
T1550.003,Pass the Ticket,defense-evasion; lateral-movement,Logon/Logoff,Account Lockout,4625
T1552,Unsecured Credentials,credential-access,Logon/Logoff,Account Lockout,4625
T1552.005,Cloud Instance Metadata API,credential-access,Logon/Logoff,Account Lockout,4625
T1552.007,Container API,credential-access,Logon/Logoff,Account Lockout,4625
T1070,Indicator Removal on Host,defense-evasion,Logon/Logoff,Logon,4648
T1070.005,Network Share Connection Removal,defense-evasion,Logon/Logoff,Logon,4648
T1078,Valid Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4648
T1078.001,Default Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4648
T1078.002,Domain Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4648
T1078.003,Local Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4648
T1078.004,Cloud Accounts,persistence; defense-evasion; privilege-escalation; initial-access,Logon/Logoff,Logon,4648
T1110,Brute Force,credential-access,Logon/Logoff,Logon,4648
T1110.001,Password Guessing,credential-access,Logon/Logoff,Logon,4648
T1110.002,Password Cracking,credential-access,Logon/Logoff,Logon,4648
T1110.003,Password Spraying,credential-access,Logon/Logoff,Logon,4648
T1110.004,Credential Stuffing,credential-access,Logon/Logoff,Logon,4648
T1207,Rogue Domain Controller,defense-evasion,Logon/Logoff,Logon,4648
T1538,Cloud Service Dashboard,discovery,Logon/Logoff,Logon,4648
T1550,Use Alternate Authentication Material,defense-evasion; lateral-movement,Logon/Logoff,Logon,4648
T1550.002,Pass the Hash,defense-evasion; lateral-movement,Logon/Logoff,Logon,4648
T1550.003,Pass the Ticket,defense-evasion; lateral-movement,Logon/Logoff,Logon,4648
T1552,Unsecured Credentials,credential-access,Logon/Logoff,Logon,4648
T1552.005,Cloud Instance Metadata API,credential-access,Logon/Logoff,Logon,4648
T1552.007,Container API,credential-access,Logon/Logoff,Logon,4648
T1003,OS Credential Dumping,credential-access,Object Access,File System,4656
T1003,OS Credential Dumping,credential-access,Object Access,Kernel Object,4656
T1003,OS Credential Dumping,credential-access,Object Access,Registry,4656
T1003.001,LSASS Memory,credential-access,Object Access,Kernel Object,4656
T1003.002,Security Account Manager,credential-access,Object Access,File System,4656
T1003.002,Security Account Manager,credential-access,Object Access,Registry,4656
